task_id,row_key,prompt,answer,reference_answer,sources,correctness_score,groundedness_score,legal_reasoning_score,completeness_score,comprehension_score,hallucination_flag,grounding_citations,comments
27,66028d1e19468bfb,Ein Grundstück wird im Rahmen einer Zwangsversteigerung erworben. Was bildet hier die Bemessungsgrundlage für die Grunderwerbsteuer?,Die Bemessungsgrundlage für die Grunderwerbsteuer beim Erwerb eines Grundstücks im Rahmen einer Zwangsversteigerung ist das tatsächliche Erschöpfungswert des Grundstückes (§ 10 BewG).,Gemäß § 5 Abs. 1 Z 4 GrEStG ist beim Erwerb im Versteigerungsverfahren das Meistgebot einschließlich der bestehen bleibenden Rechte die Gegenleistung.,§ 5 Abs. 1 Z 4 GrEStG 1987,1.0,0.0,1.0,1.0,3.0,1.0,"""beim Zuschlag im Zwangsversteigerungsverfahren das Meistbot einschließlich der Rechte, die nach den Zwangsversteigerungsbedingungen bestehen bleiben, und der Beträge, um die der Ersteher bei einem Überbot sein Meistbot erhöht."" (§ 5 Abs. 1 Z 4 GrEStG 1987)","The answer claims the Bemessungsgrundlage is the ""Erschöpfungswert"" per § 10 BewG. ""Erschöpfungswert"" is not a recognised legal term in Austrian law, and § 10 BewG does not govern compulsory auction tax bases. The correct provision is § 5 Abs. 1 Z 4 GrEStG 1987, which specifies the Meistbot (highest bid) as the Bemessungsgrundlage. Both the concept and the provision cited are hallucinated."
28,66cbf10940b6cb2d,Mehrere landwirtschaftliche Flächen werden im Rahmen eines behördlichen Zusammenlegungsverfahrens neu zugeordnet. Ist der Grundstückserwerb in diesem Verfahren grunderwerbsteuerfrei?,"Ja, der Grundstückserwerb im Rahmen eines behördlichen Zusammenlegungsverfahrens ist grunderwerbsteuerfrei, wenn die Flächen nach dem GrEStG 1987 §13 Abs 4 als landwirtschaftliche Nutzfläche genutzt werden (§ 13 Abs 4 GrEStG 1987).

### Erklärung:

Das Zusammenlegungsverfahren ist ein Verfahren, bei dem mehrere landwirtschaftliche Flächen zu einem Grundstück zusammengefasst werden. Das Grundstückserwerb im Rahmen dieses Verfahrens ist grunderwerbsteuerfrei, wenn die Flächen nach dem GrEStG 1987 §13 Abs 4 als landwirtschaftliche Nutzfläche genutzt werden.

### Zitierungen:

- GrEStG 1987 §13 Abs 4
- GrEStG 1987 §4
- GrEStG 1987 §5
- GrEStG 1940
- GrEStG 1987 §13 Abs 1",Ja. Der Erwerb eines Grundstückes im Wege eines Zusammenlegungsverfahrens ist gemäß § 3 Abs. 1 Z 4 GrEStG 1987 von der Besteuerung ausgenommen. Für diesen begünstigten Verfahrenstyp ordnet das Gesetz ausdrücklich eine Befreiung an.,§ 3 Abs. 1 Z 4 GrEStG 1987,4.0,2.0,3.0,4.0,3.0,0.0,"""Von der Besteuerung sind ausgenommen: [...] Z 4: der Erwerb eines Grundstückes im Wege eines behördlichen Zusammenlegungsverfahrens auf Grundlage landesgesetzlicher Bestimmungen über die Zusammenlegung land- und forstwirtschaftlicher Grundstücke sowie die Bringungsrechte oder im Wege eines Flurbereinigungsverfahrens."" (§ 3 Abs. 1 Z 4 GrEStG 1987)","The conclusion (yes, exempt) is correct. However, the answer cites § 13 Abs. 4 GrEStG and other sections instead of the directly applicable § 3 Abs. 1 Z 4 GrEStG 1987. This reduces the groundedness score. The reasoning (reference to behördliches Zusammenlegungsverfahren) is substantively correct."
29,6743980ee8898d48,Welche Dokumente unterliegen der Gebührenpflicht nach dem Gebührengesetz?,"Nach dem Gebührengesetz (GebG) unterliegen folgende Dokumente der Gebührenpflicht: - Urkunden, wie z.B. Geburtsurkunden, Heiratsurkunden und Sterbeurkunden - Notarielle Urkunden, wie z.B. Kaufverträge, Testamenten und Eheverträge - Gerichtsurkunden, wie z.B. Scheidungsurteile und Unterhaltsentscheidungen - Amtliche Ausfertigungen von Ver",Bestimmte schriftliche Rechtsgeschäfte wie Mietverträge (für Wohnraum seit 2017 befreit) oder Bürgschaften.,GebG § 33,3.0,0.0,2.0,2.0,3.0,0.0,"""Der Gebühr unterliegen [...] Bestandverträge (z.B. Miet- und Pachtverträge) [...] und Bürgschaftserklärungen [...]."" (§ 33 GebG – insbesondere TP 5 für Bestandverträge, TP 7 für Bürgschaften; Bestandverträge über Wohnräume sind seit 2017 gebührenfrei)","The answer lists documents (birth certificates, marriage certificates, court documents) that are not the primary subjects of GebG § 33. The reference answer correctly identifies rental contracts (with the note that residential leases are exempt since 2017) and Bürgschaften. No citation to § 33 GebG was provided."
30,67a263adee49e6f0,"Wie lange müssen Rechtsanwälte und Notare die im Rahmen der Selbstberechnung erstellten Unterlagen aufbewahren, und unter welchen Umständen entfällt diese Aufbewahrungspflicht?","Rechtsanwälte und Notare müssen die im Rahmen der Selbstberechnung erstellten Unterlagen für bestimmte Zeit aufbewahren. Diese Pflicht besteht aus folgenden Gründen: 1. **Verantwortungsfähigkeit**: Die Pflicht ist eine Verpflichtung zur Verantwortungsfähigkeit, die sich auf die Verantwortung für den Inhalt der Unterlagen bezieht. 2. **Gesetzliche Vorschriften**: Es gibt keine spezifischen Gesetze, die die Pflichten für die Aufbewahrung von Unterlagen in der Selbstberechnung festlegen. Stattdessen handelt es sich um eine allgemeine Verpflichtung, die durch die gesamte Rechtspf","Gemäß § 15 Abs. 1 GrEStG müssen Parteienvertreter die Bestätigung gemäß § 11 Abs. 3, Abschriften der Erklärungen gemäß § 12 und die über den Erwerbsvorgang ausgefertigten Schriften sieben Jahre lang aufbewahren.Die Aufbewahrungspflicht entfällt jedoch, wenn die Unterlagen in den Urkundensammlungen des Grundbuchs/Firmenbuchs (§ 91b GOG) oder in Urkundenarchiven öffentlicher Körperschaften (§ 91c GOG) abrufbar sind.",§ 15 Abs. 1 GrEStG 1987,1.0,0.0,1.0,1.0,3.0,0.0,"""Der Parteienvertreter hat die Bestätigung gemäß § 11 Abs. 3 (Kopien), Abschriften (Kopien) der Erklärungen (§ 12) und die Abschriften (Kopien, Gleichschriften) der über den Erwerbsvorgang ausgefertigten Schriften sieben Jahre aufzubewahren. Die Verpflichtung zur Aufbewahrung dieser Unterlagen beim Parteienvertreter entfällt, wenn sie in den Urkundensammlungen des Grundbuchs und des Firmenbuchs (§ 91b GOG) oder Urkundenarchiven von Körperschaften des öffentlichen Rechts (§ 91c GOG) abrufbar sind."" (§ 15 Abs. 1 GrEStG 1987)","The answer claims there are no specific laws governing this retention obligation and provides only general remarks. In fact, § 15 Abs. 1 GrEStG 1987 clearly specifies a 7-year retention period, with an exception where documents are accessible via Grundbuch, Firmenbuch, or official archives. This provision is not cited."
31,67d5da3dcaae2652,Herr Gruber zieht von Österreich in die Schweiz (Nicht-EU/EWR-Staat) und besitzt dabei im Privatvermögen Aktien mit stillen Reserven von 20.000 Euro sowie einen Future-Kontrakt mit einem latenten Gewinn von 5.000 Euro. Welche steuerlichen Konsequenzen hat der Wegzug nach § 27 EStG 1988?,"Der Wegzug nach § 27 EStG 1988 (Steuergesetz) in einen Nicht-EU/EWR-Staat führt für Herrn Gruber zu keiner unmittelbaren Steuerfolgen auf die Aktien mit stillen Reserven und den Future-Kontrakt. Die Steuerpflicht betreffend diese Vermögenspositionen bleibt in Österreich liegen.

(Translation: The departure from Austria to a non-EU/EWR country (Switzerland) according to § 27 EStG 1988 (Austrian Tax Code) for Mr. Gruber does not result in any immediate tax consequences regarding the Aktien with hidden reserves and the Future Contract. The tax liability regarding these assets remains in Austria.)","Der Wegzug in die Schweiz führt zu einer Einschränkung des österreichischen Besteuerungsrechts und gilt gemäß § 27 Abs. 6 Z 1 EStG 1988 als fiktive Veräußerung sowohl hinsichtlich der Aktien (Wirtschaftsgut im Sinne des Abs. 3) als auch des Future-Kontrakts (Derivat im Sinne des Abs. 4). Da die Schweiz kein EU/EWR-Staat ist, greift die Stundungsregelung des § 27 Abs. 6 Z 1 lit. a EStG 1988 nicht – diese gilt nur für EU/EWR-Staaten. Gemäß § 27 Abs. 6 Z 1 lit. d EStG 1988 sind in allen nicht von lit. a erfassten Fällen die § 6 Z 6 lit. c und d EStG 1988 sinngemäß anzuwenden, was zur sofortigen Steuerpflicht auf die stillen Reserven von 20.000 Euro (Aktien) und 5.000 Euro (Future) führt.",§ 27 Abs. 6 Z 1 EStG 1988; § 27 Abs. 6 Z 1 lit. a EStG 1988; § 27 Abs. 6 Z 1 lit. d EStG 1988,1.0,1.0,1.0,1.0,3.0,0.0,"""Als Veräußerung im Sinne der Abs. 3 und 4 gelten auch: 1. Umstände, die zu einer Einschränkung des Besteuerungsrechtes der Republik Österreich im Verhältnis zu anderen Staaten [...] führen. [...] d) In allen nicht in lit. a genannten Fällen sind die § 6 Z 6 lit. c und d sinngemäß anzuwenden."" (§ 27 Abs. 6 Z 1 und lit. d EStG 1988)","The answer incorrectly states there are no immediate tax consequences. Switzerland is a non-EU/EWR state, so the deferral option (Nichtfestsetzung) of lit. a does not apply. Under § 27 Abs. 6 Z 1 lit. d, the § 6 Z 6 lit. c and d rules apply by analogy, which requires immediate taxation of the silent reserves (EUR 25,000 total). The critical EU/EWR distinction – the core of the question – is not addressed."
32,689f28129f3be04f,Ein Käufer hat bereits einen Anspruch auf Übereignung eines Grundstücks in Graz. Noch vor der Durchführung überträgt er diesen Anspruch vertraglich an seine Schwester. Ist schon diese Abtretung grunderwerbsteuerpflichtig?,"Der Grunderwerbsteuer unterliegt eine Reihe von Vorgängen, die nicht durch Begründung eines Anspruchs auf Übereignung mit einem anderen rechtlicher oder wirtschaftlicher Ziel erfolgten. Es wurde jedoch nicht durch Begründung eines Anspruchs auf Übereignung mit einem anderen rechtlicher oder wirtschaftlicher Ziel erfolg","Ja. Ein Rechtsgeschäft, das den Anspruch auf Abtretung eines Übereignungsanspruches begründet, unterliegt nach § 1 Abs. 1 Z 3 GrEStG 1987 selbst der Grunderwerbsteuer. Es kommt daher nicht erst auf die spätere Eigentumsübertragung an.",§ 1 Abs. 1 Z 3 GrEStG 1987,1.0,0.0,0.0,0.0,1.0,0.0,"""Der Grunderwerbsteuer unterliegen folgende Vorgänge: [...] 3. ein Rechtsgeschäft, das den Anspruch auf Abtretung eines Übereignungsanspruches begründet,"" (§ 1 Abs. 1 Z 3 GrEStG 1987)",The answer is truncated and incoherent. It does not address whether the assignment (Abtretung) of a purchase claim triggers GrESt. § 1 Abs. 1 Z 3 GrEStG 1987 directly and unambiguously covers this: a contract creating a claim to the assignment of an Übereignungsanspruch is itself subject to GrESt. This provision is not cited.
33,68defc32c84b86ae,"Herr Frank hält im Privatvermögen Unternehmensanleihen bei einer österreichischen Bank. Er überträgt diese im Rahmen einer Umgründung (Einbringung seines Einzelunternehmens in eine GmbH gemäß UmgrStG) in das Betriebsvermögen der neu gegründeten GmbH. Er beauftragt die depotführende Stelle, dem Finanzamt innerhalb eines Monats die Daten zu melden. Gilt die Übertragung als Veräußerung?",Nein. Gemäß § 31 Abs. 1 Z 1 UmgrStG gilt die Übertragung als Einbringung.,"Nein. Gemäß § 27 Abs. 6 Z 2 EStG 1988 liegt keine Veräußerung vor bei der Übertragung im Zuge einer Umgründung im Sinne des Umgründungssteuergesetzes, wenn der Steuerpflichtige die depotführende Stelle beauftragt, dem zuständigen Finanzamt innerhalb eines Monats seinen Namen, seine Steuer- oder Sozialversicherungsnummer, die übertragenen Wirtschaftsgüter, deren Anschaffungskosten und die Empfängerstelle mitzuteilen. Da Herr Frank diese Voraussetzungen erfüllt, gilt die Depotübertragung nicht als Veräußerung. Die steuerlichen Anschaffungskosten werden im Rahmen der Umgründung nach den Vorschriften des UmgrStG fortgeführt.",§ 27 Abs. 6 Z 2 EStG 1988,4.0,2.0,3.0,3.0,4.0,0.0,"""Als Veräußerung gilt nicht die Übertragung von Wirtschaftsgütern im Sinne des Abs. 3 und 4 im Zuge einer Umgründung im Sinne des Umgründungssteuergesetzes, wenn der Steuerpflichtige die depotführende Stelle beauftragt, dem zuständigen Finanzamt innerhalb eines Monats seinen Namen, seine Steuer- oder Sozialversicherungsnummer, die übertragenen Wirtschaftsgüter, deren Anschaffungskosten und gegebenenfalls jene Stelle mitzuteilen, auf die die Übertragung erfolgt."" (§ 27 Abs. 6 Z 2 EStG 1988)","Correct conclusion (not a Veräußerung). However, the answer cites § 31 Abs. 1 Z 1 UmgrStG instead of the governing § 27 Abs. 6 Z 2 EStG 1988. Also, the specific one-month notification requirement that is a condition for the non-disposal treatment is not mentioned."
34,691ae60ad914f1af,"Wie lange müssen Rechtsanwälte und Notare die im Rahmen der Selbstberechnung erstellten Unterlagen aufbewahren, und unter welchen Umständen entfällt diese Aufbewahrungspflicht?","Laut österreichischem Steuerrecht müssen Rechtsanwälte und Notare die im Rahmen der Selbstberechnung erstellten Unterlagen **mindestens 6 Jahre** aufbewahren.

Es gibt jedoch einige Ausnahmen:

* **Aufbewahrungszeitraum kann durch Vereinbarung mit dem Finanzamt verkürzt werden.** Dies ist möglich, wenn das Finanzamt eine kürzere Frist festlegt.
* **Entfällt die Aufbewahrungspflicht:**
    * **Bei einem Steuerberatervertrag**: Der Vertrag selbst genügt als Nachweis.
    * **Bei einer Rechnungsstellung an einen Kunden**: Die Rechnung selbst reicht als Beweismittel aus.
    * **Bei der Abgabe von Steuererklärungen**: Es genügt, dass die Erklärung selbst vorliegt.
    * **Bei der Erstellung von Buchführungsunterlagen**: Diese können nach Ablauf des Kalenderjahres archiviert werden.


Wichtig zu beachten sind auch folgende Punkte:

* **Archivierung der Unterlagen:** Die Unterlagen müssen ordnungsgemäß gesichert und zugänglich gemacht werden.
* **Kopien:** Es sollten Kopien der Unterlagen erstellt und gespeichert werden.
* **Elektronische Archivierung:** Bei elektronischer Archivierung muss sichergestellt sein, dass die Daten dauerhaft gespeichert und geschützt sind.
* **Datenschutzbestimmungen:**  Die Datenschutzbestimmungen müssen bei der Archivierung beachtet werden.



Bitte beachten Sie, dass dies nur allgemeine Informationen sind und keine Rechtsberatung ersetzen. Für spezifische Fragen wenden Sie sich bitte an ein qualifiziertes","Gemäß § 15 Abs. 1 GrEStG müssen Parteienvertreter die Bestätigung gemäß § 11 Abs. 3, Abschriften der Erklärungen gemäß § 12 und die über den Erwerbsvorgang ausgefertigten Schriften sieben Jahre lang aufbewahren.Die Aufbewahrungspflicht entfällt jedoch, wenn die Unterlagen in den Urkundensammlungen des Grundbuchs/Firmenbuchs (§ 91b GOG) oder in Urkundenarchiven öffentlicher Körperschaften (§ 91c GOG) abrufbar sind.",§ 15 Abs. 1 GrEStG 1987,1.0,0.0,1.0,2.0,3.0,1.0,"""Der Parteienvertreter hat [...] die über den Erwerbsvorgang ausgefertigten Schriften sieben Jahre aufzubewahren. Die Verpflichtung [...] entfällt, wenn sie in den Urkundensammlungen des Grundbuchs und des Firmenbuchs (§ 91b GOG) oder Urkundenarchiven von Körperschaften des öffentlichen Rechts (§ 91c GOG) abrufbar sind."" (§ 15 Abs. 1 GrEStG 1987)","The answer gives a retention period of 6 years when § 15 Abs. 1 GrEStG 1987 requires 7 years. The exceptions invented by the answer (Steuerberatervertrag, Rechnungsstellung) have no basis in that provision. The correct exceptions (Grundbuch/Firmenbuch archives) are not mentioned. § 15 GrEStG is not cited."
35,693f3db1e16135e0,"Ein Unternehmer erhält vom Auftraggeber gebrauchte Messingplatten, entfernt Oxidationsschichten, glättet die Oberfläche und schneidet sie auf passende Maße zu. Nach der Behandlung können die Platten weiterhin nur als Messingplatten derselben Marktgattung verkauft werden; eine neue eigenständige Marktgängigkeit entsteht nicht. Liegt eine Bearbeitung oder Verarbeitung im Sinne des § 3 Abs. 6 vor?","Nein, da keine Änderung der Form oder des Materials erfolgt, handelt es sich nicht um eine Bearbeitung oder Verarbeitung (§ 3 Abs. 6 UStG).","Nein. Als Bearbeitung oder Verarbeitung gilt nur eine Behandlung, durch welche nach der Verkehrsauffassung ein neues Verkehrsgut entsteht, also ein Gegenstand anderer Marktgängigkeit. Bleiben die behandelten Gegenstände trotz Reinigung, Glättung und Zuschnitt derselben Marktgattung zugeordnet, entsteht kein neues Verkehrsgut.",§ 3 Abs. 6 UStG 1994,3.0,3.0,2.0,3.0,4.0,0.0,"""Als Bearbeitung oder Verarbeitung gilt jede Behandlung des Gegenstandes, durch welche nach der Verkehrsauffassung ein neues Verkehrsgut (ein Gegenstand anderer Marktgängigkeit) entsteht."" (§ 3 Abs. 6 UStG 1994)","The conclusion (""no, not a Bearbeitung oder Verarbeitung"") is correct. However, the reasoning is wrong: the answer says there was no change in Form or Material, when in fact cleaning, smoothing and cutting did change the physical form. The correct reasoning (from § 3 Abs. 6 UStG) is that no new Verkehrsgut arises because the treated plates remain in the same market category as before."
36,698fc6ea7b8c1397,"Ein Unternehmen führt Spezialformen aus einem Drittstaat zur vorübergehenden Verwendung ein. Mit ihnen werden im Inland Präzisionsteile produziert. Ein Teil dieser Präzisionsteile wird unmittelbar an Abnehmer im Drittland ausgeführt. Ein anderer Teil wird zunächst in Österreich gelagert, um später möglicherweise ebenfalls exportiert zu werden. Die Zollanmeldung stützt sich auf die Begünstigung für die vorübergehende Verwendung. Zu beurteilen ist, ob bereits die bloße Zwischenlagerung eines Teils der hergestellten Gegenstände im Inland die Befreiung scheitern lässt.","Die bloße Zwischenlagerung der hergestellten Gegenstände im Inland reicht nicht aus, um die Befreiung für die vorübergehende Verwendung zu scheitern, da die Bewilligung für die vorübergehende Verwendung auch nach der Lieferung gilt. Die Lagerung ist jedoch buchmäßig nachzuweisen, um die Voraussetzungen für die Befreiung zu erfüllen.","Die Einfuhr ist nicht steuerfrei. Die Befreiung setzt voraus, dass die mit den eingeführten Gegenständen hergestellten Waren zur Gänze aus dem Zollgebiet der Union ausgeführt werden. Dass ein Teil zunächst im Inland verbleibt, genügt, um diese Voraussetzung nicht als erfüllt anzusehen.",§ 6 Abs. 4 Z 7 UStG 1994,1.0,1.0,1.0,2.0,3.0,0.0,"""Von der Einfuhrumsatzsteuer sind befreit: [...] die Einfuhr von Gegenständen, die vorübergehend eingeführt werden und mit denen im Inland im Auftrag eines ausländischen Unternehmers Werkleistungen ausgeführt werden, sofern die mit diesen Gegenständen hergestellten oder bearbeiteten Waren zur Gänze aus dem Zollgebiet der Union ausgeführt werden."" (§ 6 Abs. 4 Z 7 UStG 1994)","The answer states that intermediate storage is acceptable if documented. This is wrong. § 6 Abs. 4 Z 7 UStG 1994 requires that the manufactured goods are exported in their entirety (""zur Gänze""). Keeping even part of the goods in Austria for possible later export is sufficient to disqualify the entire exemption. This is the core issue the question is testing."
37,69eadb5d15969c36,"Herr Brandstätter ist österreichischer Steuerresident und besitzt Aktien der US-amerikanischen Y-Corp. Im August 2026 führt Y-Corp einen ‚Reverse Stock Split' 1:10 durch (10 alte Aktien werden zu 1 neuen zusammengelegt). Herr Brandstätter hielt 1.000 Aktien (Anschaffungskosten EUR 5/Stück = EUR 5.000) und hält nach dem Reverse Split 100 Aktien. Für seine 5 ‚überschüssigen' Aktien (da er 1.005 Aktien hatte, wovon 5 nicht glatt teilbar sind) erhält er eine Barabfindung von EUR 250. Herr Brandstätter ist der Ansicht, dass der gesamte Reverse Split kein steuerlich relevanter Vorgang ist. Stimmt das?","Der Reverse Split ist kein steuerlich relevanter Vorgang, da er keinen Einfluss auf die steuerliche Behandlung der Aktien hat. Die Barabfindung für die 5 Aktien, die nach dem Reverse Split überschüssig sind, ist ebenfalls steuerfrei.","Der Reverse Stock Split an sich ist für die glatten Anteile kein steuerpflichtiger Vorgang, da sich nur die Stückelung ändert und die Beteiligungsquote unverändert bleibt. Die Anschaffungskosten der alten Aktien werden auf die neuen Aktien übertragen: 1.000 Aktien × EUR 5 = EUR 5.000, aufgeteilt auf 100 neue Aktien = EUR 50/Aktie. Für die 5 überschüssigen Aktien (Spitze), die gegen Barabfindung eingezogen werden, liegt jedoch eine Veräußerung gemäß § 27 Abs. 3 EStG vor. Die Anschaffungskosten der 5 Spitzenaktien betragen 5 × EUR 5 = EUR 25. Veräußerungserlös: EUR 250. Steuerpflichtiger Gewinn aus der Spitzenabfindung: EUR 250 – EUR 25 = EUR 225, steuerpflichtig mit 27,5 % (§ 27a Abs. 1 EStG). Der Reverse Split ist daher nicht zur Gänze steuerlich neutral.",§ 27 Abs. 3 EStG; § 27a Abs. 3 Z 2 lit. a EStG; § 27a Abs. 1 EStG,1.0,0.0,1.0,2.0,3.0,1.0,"""Zu den Einkünften aus realisierten Wertsteigerungen von Kapitalvermögen gehören Einkünfte aus der Veräußerung, Einlösung und sonstigen Abschichtung von Wirtschaftsgütern, deren Erträge Einkünfte aus der Überlassung von Kapital im Sinne von Abs. 2 sind."" (§ 27 Abs. 3 EStG 1988)
""Einkünfte gemäß Abs. 3 und 4 unterliegen [...] einem besonderen Steuersatz von 27,5%."" (§ 27a Abs. 1 EStG 1988)","The answer correctly states that the main split is tax-neutral but then incorrectly claims that the Barabfindung (cash payment) for the 5 fractional shares is also tax-free. This is hallucinated: the cash payment is a disposal per § 27 Abs. 3 EStG 1988. The taxable gain is EUR 225 (EUR 250 – EUR 25 cost base), subject to 27.5% per § 27a Abs. 1 EStG 1988."
38,6a8ada26b5c4672e,Kann eine Beteiligungsgemeinschaft als Gruppenträger fungieren und welche Mindestquoten gelten für die einzelnen Mitbeteiligten?,"Nein. Eine Beteiligungsgemeinschaft kann nicht selbst Gruppenträger sein; Gruppenträger kann nur ein unbeschränkt steuerpflichtiger Körperschaftsträger sein (§ 9 Abs. 3 KStG).

Bei einer Beteiligungsgemeinschaft als Gruppenträger müssen die Mitbeteiligten an der inländischen Körperschaft jeweils mindestens 40 % beteiligt sein; die Beteiligungsgemeinschaft muss insgesamt mehr als 50 % halten (§ 9 Abs. 4 KStG).","Ja, wenn sie aus zulässigen Steuerpflichtigen gebildet wird (§ 9 Abs. 3 KStG). Für die finanzielle Verbindung muss die Beteiligungsgemeinschaft insgesamt mittelbar oder unmittelbar über 50 % des Grund-, Stamm- oder Genossenschaftskapitals und der Stimmrechte an einer Beteiligungskörperschaft besitzen und zumindest ein Mitbeteiligter der Gemeinschaft eine Beteiligung am Grund- Stamm- oder Genossenschaftskapital und an den Stimmrechten von mindestens 40% der Beteiligungskörperschaft und jeder  weitere Beteiligte eine solche von mindestens 15 % besitzen (§ 9 Abs. 4 KStG).",§ 9 Abs. 3–4 KStG 1988,2.0,4.0,2.0,3.0,4.0,0.0,"""Beteiligungsgemeinschaften (als Personengesellschaft, Beteiligungssyndikat oder im Wege gemeinsamer Kontrolle), wenn sie ausschließlich aus den in den Vorpunkten genannten Steuerpflichtigen gebildet werden [können Gruppenträger sein], nach Maßgabe des Abs. 4."" (§ 9 Abs. 3 KStG 1988)
""[Für Beteiligungsgemeinschaft gilt als finanzielle Verbindung, wenn] die Beteiligungsgemeinschaft insgesamt [...] mehr als 50% [...] besitzt und zumindest ein Mitbeteiligter [...] mindestens 40% [...] und jeder weitere Mitbeteiligte [...] mindestens 15% besitzt."" (§ 9 Abs. 4 KStG 1988)","The answer incorrectly concludes a Beteiligungsgemeinschaft cannot be Gruppenträger. § 9 Abs. 3 KStG 1988 explicitly allows this. The quota information for the financial connection (>50% total, ≥40% for at least one member) is substantially correct, but the answer omits the ≥15% minimum for each additional member per § 9 Abs. 4 KStG 1988."
39,6afed9e09ce74974,"Welche Aspekte der §§ 7–12 KStG sind zu prüfen, wenn eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt und eine Gruppe bilden möchte?","Die Prüfung der §§ 7–12 KStG wird benötigt, wenn eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt und eine Gruppe bilden möchte.","§ 7 Abs. 3 KStG: Einkommensermittlung beider Körperschaften als Gewerbebetrieb (Gewerblichkeitsfiktion). § 9 Abs. 2–5 KStG: Gruppenvoraussetzungen (mittelbare oder unmittelbare Beteiligung > 50 %; unbeschränkt steuerpflichtige Kapitalgesellschaften oder vergleichbare nicht unbeschränkt steuerpflichtige Kapitalgesellschaften, die in einem Mitgliedstaat der Europäischen Union ode in einem Staat, mit dem umfassende Amtshilfe besteht, ansässig sind und ausschließlich mit unbeschränkt steuerpflichtigen Gruppenmitgliedern oder mit dem Gruppenträger finanziell verbunden sind; die finanzielle Verbindung muss während des gesamten Wirtschaftsjahres des jeweiligen Gruppenmitglieds vorliegen). § 9 Abs. 6 Z 4 KStG: Vorgruppenverluste nur gegen eigenen Gewinn. § 11 Abs. 1 Z 4 KStG: Zinsen abzugsfähig (konzernfremder Verkäufer → kein § 12 Abs. 1 Z 9). § 9 Abs. 7 KStG: Nach Beitritt keine Teilwertabschreibungen mehr.","§ 7 Abs. 3; § 9 Abs. 2–5, Abs. 6 Z 4, Abs. 7; § 11 Abs. 1 Z 4; § 12 Abs. 1 Z 9 KStG 1988",0.0,0.0,0.0,0.0,2.0,0.0,"""§ 7 Abs. 3 KStG: Gewerblichkeitsfiktion (alle Einkünfte als Gewerbebetrieb); § 9 Abs. 2–5 KStG: Gruppenvoraussetzungen (finanzielle Verbindung >50%, ganzjährig, unbeschränkt steuerpflichtige Kapitalgesellschaften); § 9 Abs. 6 Z 4: Vorgruppenverluste nur gegen eigene Gewinne; § 11 Abs. 1 Z 4 KStG: Zinsenabzug zulässig (konzernfremder Erwerb); § 12 Abs. 1 Z 9: kein Abzugsverbot (konzernfremder Erwerb); § 9 Abs. 7: Teilwertabschreibungen auf Gruppenmitglieder nicht abzugsfähig nach Beitritt.""",The answer merely restates the question verbatim without providing any content. It is a complete non-answer. All relevant §§ 7–12 KStG aspects applicable to this group formation scenario are listed in the grounding citation for reference.
