id,prompt,correct_answer,sources,baseline_answer,tuned_answer,rag_answer,rag_bertscore
TAX-INTL-063,Ein in der Schweiz wohnender Privatanleger verkauft ein in Wien gelegenes Grundstück aus seinem Privatvermögen. Unterliegt der Veräußerungsgewinn in Österreich der beschränkten Steuerpflicht?,"Ja. Einkünfte aus privaten Grundstücksveräußerungen sind nach § 98 Abs. 1 Z 7 EStG 1988 beschränkt steuerpflichtig, soweit es sich um inländische Grundstücke handelt.",§ 98 Abs. 1 Z 7 EStG 1988,"Ja, der Veräußerungsgewinn unterliegt der beschränkten Steuerpflicht. Gemäß § 32 EStG ist ein inländischer Steuerpflichtiger, der ein Grundstück veräußt, der Gewinn aus der Veräußerung des Grundstücks steuerpflichtig.",Nein. Der Veräußerungsgewinn unterliegt der beschränkten Steuerpflicht.,"der Einkommensteuer zu besteuern. b) Die Einkünfte aus der Republik Österreich werden nicht unter Buchstabe b fallen, wenn sie in der Republik Österreich gelegene Vermögenswerte sind. c) Die Einkünfte aus der Republik Österreich werden nicht unter Buchstabe b fallen, wenn sie in der Republik Österreich gelegene Vermögenswerte sind, die nach dem Vertrag über die Beendigung der Doppelbesteuerung zwischen der Bundesrepublik Deutschland und der Republik Ö",0.795339822769165
TAX-INTL-064,Ein in Bayern ansässiger Landwirt bewirtschaftet zusätzlich Ackerflächen in Österreich. Sind die daraus erzielten Einkünfte in Österreich beschränkt steuerpflichtig?,Ja. Einkünfte aus einer im Inland betriebenen Land- und Forstwirtschaft unterliegen nach § 98 Abs. 1 Z 1 EStG 1988 und EStR 2000 Rz 7911 der beschränkten Steuerpflicht. Maßgeblich ist die Belegenheit der bewirtschafteten Grundstücke im Inland.,§ 98 Abs. 1 Z 1 EStG 1988;EStR 2000 Rz 7911,"Die Einkünfte aus der Landwirtschaft in Österreich sind grundsätzlich steuerpflichtig. Die beschränkte Steuerpflicht für Ausländer (§ 1 Abs. 2 EStG) ist jedoch nur auf Einkünfte aus nichtselbstständiger Tätigkeit anwendbar. 

Für Einkünfte aus Land- und Forstwirtschaft ist die beschränkte Steuerpflicht nicht anwendbar. Die Einkünfte sind daher grundsätzlich in Österreich zu versteuern.",Ja. Die Einkünfte aus dem Landwirtschaftsbetrieb sind grundsätzlich in Österreich steuerpflichtig. Die Einkünfte aus Ackerflächen sind gemäß § 23 Abs. 1 Z 1 EStG 1988 Einkünfte aus Landwirtschaft und Landwirtschaftsbetrieb. Die Einkünfte sind,"lik Deutschland besteuert werden dürfen, abzüglich der Einkünfte oder Vermögen, die nach dem Abkommen von der Besteuerung in der Bundesrepublik Deutschland besteuert werden dürfen, abzüglich der Einkünfte oder Vermögen, die nach dem Abkommen von der Besteuerung in der Bundesrepublik Deutschland besteuert werden dürfen, abzüglich der Einkünfte oder Vermögen, die nach dem Abkommen von der Besteuerung in der Bundesrepublik Deutschland besteuert werden",0.7818122506141663
TAX-INTL-065,"Eine in Spanien ansässige Person erzielt Einkünfte aus Rechten, die in ein österreichisches öffentliches Register eingetragen sind und vermietet werden. Kann § 98 Abs. 1 Z 6 EStG 1988 greifen?","Ja, explizit greift § 98 Abs. 1 Z 6 EStG 1988. Einkünfte aus Vermietung und Verpachtung sind auch dann beschränkt steuerpflichtig, wenn sich die vermieteten Rechte in einem inländischen öffentlichen Buch oder Register befinden.",§ 98 Abs. 1 Z 6 EStG 1988,"Nein, § 98 Abs. 1 Z 6 EStG 1988 greift nicht, da die Einkünfte aus Rechten, die in ein österreichisches öffentliches Register eingetragen sind, nicht unter die Einkünfte aus Leibrenten fallen.","Ja. Gemäß § 98 Abs. 1 Z 6 EStG 1988 ist Einkünfte aus Rechten, die in einem anderen EU-Beitragssystem eingetragen sind und vermietet werden, grundsätzlich nicht steuerpflichtig.","de, die für die Ausübung der Abgabenverwaltung zuständig sind, anwenden.",0.812343180179596
TAX-INTL-066,"Ein in Luxemburg ansässiger Anleger erzielt österreichische Kapitalerträge, bei denen Kapitalertragsteuer einzubehalten war. Können diese Einkünfte in Österreich beschränkt steuerpflichtig sein?","Ja. Bestimmte Einkünfte aus Kapitalvermögen unterliegen nach § 98 Abs. 1 Z 5 EStG 1988 und EStR 2000 Rz 7966 der beschränkten Steuerpflicht, wenn die gesetzlichen Anknüpfungen erfüllt sind und Kapitalertragsteuer einzubehalten war.",§ 98 Abs. 1 Z 5 EStG 1988;EStR 2000 Rz 7966,"Ja, das ist möglich. Wenn der Anleger in Österreich einen Wohnsitz hat, können die Kapitalerträge in Österreich beschränkt steuerpflichtig sein.","Ja. Die Kapitalerträge, die der Anleger erzielt hat, sind zwar nicht steuerpflichtig, aber die Einkünfte aus Kapitalertragsteuer sind steuerpflichtig.",einem bestimmten Zeitpunkt nach dem 31. Dezember des Vorjahrsschülers des Vorjahrsschülers des Vorjahres des Folgejahres 1. Jahrzehnder des Vorjahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Folgejahres des Fol,0.726915180683136
TAX-INTL-067,Wann liegen für § 98 Abs. 1 Z 5 lit. b EStG 1988 inländische Zinsen vor?,"Inländische Zinsen liegen nach § 98 Abs. 1 Z 5 lit. b EStG 1988 insbesondere vor, wenn der Schuldner der Zinsen Wohnsitz, Geschäftsleitung oder Sitz im Inland hat oder das Wertpapier von einem inländischen Emittenten begeben wurde.",§ 98 Abs. 1 Z 5 lit. b EStG 1988,"Ich bin mir nicht sicher, ob die Frage auf das EStG 1988 oder das EStG 2018 verweist. Für das EStG 2018 liegen inländische Zinsen vor, wenn sie von einem inländischen Kreditgeber einem inländischen Schuldner gewährt werden.","Für § 98 Abs. 1 Z 5 lit. b EStG 1988 liegen inländische Zinsen vor, wenn ein Ausländer Einkünfte aus einer inländischen Körperschaft erhält, die Einkünfte aus einer anderen Körperschaft erhält, und die Einkünfte aus der anderen Körpers","te Progression gilt die steuerliche Mehrbelastung, die durch die Anwendung der Abs. 1 auf die Einkünfte des Unternehmens nach § 12a Abs. 1 und 2 Z 1 und 2 des Einkommensteuergesetzes 1988 entsteht. (3) Die steuerliche Mehrbelastung ist die Anzahl der Einkünfte, die nach der Abs. 1 entsteht, abzüglich der Anzahl der Einkünfte, die nach der Abs. 1",0.8004927635192871
TAX-INTL-068,"Unterliegen Kapitalerträge eines beschränkt Steuerpflichtigen auch dann der beschränkten Steuerpflicht, wenn für sie eine KESt-Befreiung nach § 94 EStG 1988 besteht?","Nein. Besteht eine Befreiung von der Kapitalertragsteuer gemäß § 94 EStG 1988, unterliegen diese Einkünfte nach EStR 2000 Rz 7966 auch nicht der beschränkten Steuerpflicht.",EStR 2000 Rz 7966,"Ja, das ist so. Kapitalerträge eines beschränkt Steuerpflichtigen unterliegen der beschränkten Steuerpflicht, auch wenn für sie eine Körperschaftsteuer-Befreiung (KESt-Befreiung) besteht.","Ja. Kapitalerträge eines beschränkt Steuerpflichtigen, die für sie eine KESt-Befreiung nach § 94 EStG 1988 bietet, unterliegen der beschränkten Steuerpflicht.","itigkeit der Besteuerung entspricht, die für die Beteiligung in einem anderen EU-Bundesland oder einer anderen EU-Unternehmen vorgelegt wurde, die Beteiligung in einem anderen EU-Bundesland oder einer anderen EU-Unternehmen in einem anderen EU-Bundesland oder einer anderen EU-Unternehmen in einem anderen EU-Bundesland oder einer anderen EU-Unternehmen in einem anderen EU-Bundesland oder einer anderen EU-Unternehmen in einem anderen EU-Bundesland oder einer anderen EU-",0.7665848731994629
TAX-INTL-069,"Ein im Ausland lebender Pensionist bezieht eine österreichische Sozialversicherungspension, die auf einer früher im Inland ausgeübten oder verwerteten Tätigkeit beruht. Kann dafür beschränkte Steuerpflicht bestehen?","Ja. Nach den Richtlinien in EStR 2000 Rz 7953 können auch solche Bezüge in die beschränkte Steuerpflicht fallen, wenn die frühere Tätigkeit im Inland ausgeübt oder verwertet wurde.",EStR 2000 Rz 7953,"Ja, das ist möglich. Wenn die Pension aus einer im Inland ausgeübten oder verwerteten Tätigkeit stammt, kann die beschränkte Steuerpflicht nach § 1 Abs. 1 Z 10 EStG bestehen, wenn die Pension im Inland nicht anfällt.","Ja. Die beschränkte Steuerpflicht liegt vor, wenn die Sozialversicherungspension auf einer früher im Inland ausgeübten oder verwerteten Tätigkeit beruht.",nehmers werden an die Belegschaftsbeteiligungsstiftung gezahlt.,0.7975429892539978
TAX-INTL-070,Kann ein in Portugal ansässiger Künstler mit Einkünften aus unselbständiger Arbeit in Österreich beschränkt steuerpflichtig sein?,"Ja. Einkünfte aus nichtselbständiger Arbeit können unter § 98 Abs. 1 Z 4 EStG 1988 fallen, wenn ein Inlandsbezug besteht.",§ 98 Abs. 1 Z 4 EStG 1988,"Ja, das ist möglich. Wenn der Künstler in Österreich tätig ist und die Einkünfte dort erzielt, kann er beschränkt steuerpflichtig sein. Die beschränkte Steuerpflicht gilt für Personen, die in einem anderen Mitgliedstaat der EU ansässig sind, aber in Österreich tätig sind.","Ja. Wenn ein in Portugal ansässiger Künstler mit Einkünften aus unselbständiger Arbeit in Österreich beschränkt steuerpflichtig ist, kann er auch in Österreich Einkünfte aus der unselbständigen Arbeit nach § 23 Abs. 1 Z 1 EStG 1988 verlangen.",6 - 1. Teil,0.7993413209915161
TAX-INTL-071,Wann ist ein Arbeitnehmer nach dem EStG beschränkt lohnsteuerpflichtig?,"Beschränkt lohnsteuerpflichtig sind nach § 70 Abs. 1 EStG 1988 Arbeitnehmer, bei denen die Voraussetzungen der §§ 1 Abs. 3 und 98 Abs. 1 Z 4 EStG 1988 vorliegen.",§ 70 Abs. 1 EStG 1988,"Ein Arbeitnehmer ist nach dem EStG beschränkt lohnsteuerpflichtig, wenn er mehr als 10% seiner Arbeitszeit für einen anderen als Arbeitnehmer ausübt.","Ein Arbeitnehmer ist nach § 23 EStG beschränkt lohnsteuerpflichtig, wenn er nach § 24 EStG als Einkünfte aus nichtselbständiger Arbeit oder als Einkünfte aus nichtselbständiger Arbeit im Sinne von § 24 EStG verlangt wird.","nehmer kann die Steuerbefreiung gemäß § 6 Abs. 1 Z 9 lit. a bis b verlängern, wenn er die Vorauszahlung der Steuerabgaben abgegeben hat und die Vorauszahlung der Steuerabgaben abgegeben hat, bis zum 31. Dezember des Vorjahres.",0.8301828503608704
TAX-INTL-072,"Kann bei beschränkt lohnsteuerpflichtigen Arbeitnehmern die Lohnsteuer grundsätzlich nach dem normalen Tarif berechnet werden, allerdings mit Kürzung bestimmter Absetzbeträge?","Ja, das kann nach § 70 Abs. 2 Z 1 EStG 1988 gemacht werden. Soweit nicht die Sonderregel des § 70 Abs. 2 Z 2 gilt, wird die Lohnsteuer nach den Tarifvorschriften berechnet, wobei bestimmte Absetzbeträge nicht zu berücksichtigen sind.",§ 70 Abs. 2 Z 1 EStG 1988,"Ja, das ist möglich. Bei beschränkt lohnsteuerpflichtigen Arbeitnehmern kann die Lohnsteuer grundsätzlich nach dem normalen Tarif berechnet werden, allerdings mit Kürzung bestimmter Absetzbeträge.","Ja. Die Lohnsteuer kann grundsätzlich nach dem normalen Tarif berechnet werden, allerdings mit Kürzung bestimmter Absetzbeträge.",1 bis 3 des Einkommensteuergesetzes 1988 geltenden Regelungen erfüllen.,0.8019077777862549
TAX-INTL-073,Ein beschränkt steuerpflichtiger Vortragender bezieht Arbeitnehmerbezüge aus einer Tätigkeit im Sinne des § 99 Abs. 1 Z 1 EStG 1988. Kann dafür im Lohnsteuerabzug ein 20%-Satz zur Anwendung kommen?,Ja. Für solche Bezüge sieht § 70 Abs. 2 Z 2 EStG 1988 einen besonderen Lohnsteuersatz von 20% des vollen Betrages vor.,§ 70 Abs. 2 Z 2 EStG 1988,"Nein, ein 20%-Satz kann nicht zur Anwendung kommen. Der 20%-Satz ist für freiberufliche Einkünfte vorgesehen, die nicht im Rahmen einer Tätigkeit im Sinne des § 99 Abs. 1 Z 1 EStG 1988 erzielt werden.","Nein. Gemäß § 99 Abs. 1 Z 1 EStG 1988 sind Arbeitnehmerbezüge aus einer Tätigkeit im Sinne des § 99 Abs. 1 Z 1 EStG 1988 nur dann steuerpflichtig, wenn der Vortragender im Lohnsteuerabzug ein 20%-Satz",nung zu bestimmen.,0.7867065668106079
TAX-INTL-074,"Dürfen Betriebsausgaben oder Werbungskosten bei der Veranlagung beschränkt Steuerpflichtiger berücksichtigt werden, wenn sie wirtschaftlich mit den steuerpflichtigen österreichischen Einkünften zusammenhängen?","Ja. Betriebsausgaben und Werbungskosten dürfen nach § 102 Abs. 2 Z 1 EStG 1988 bei beschränkt Steuerpflichtigen insoweit berücksichtigt werden, als sie mit diesen Einkünften in wirtschaftlichem Zusammenhang stehen.",§ 102 Abs. 2 Z 1 EStG 1988,"Ja, das ist möglich. Die Betriebsausgaben oder Werbungskosten müssen wirtschaftlich mit den steuerpflichtigen österreichischen Einkünften zusammenhängen.","Nein. Betriebsausgaben und Werbungskosten sind bei der Veranlagung beschränkt Steuerpflichtiger nicht zu berücksichtigen, wenn sie wirtschaftlich mit den steuerpflichtigen österreichischen Einkünften zusammenhängen.",republik Deutschland besteuert werden.,0.7804543972015381
TAX-INTL-075,Steht der Verlustabzug beschränkt Steuerpflichtigen nur für bestimmte inländische Verluste zu?,"Ja. Der Verlustabzug steht beschränkt Steuerpflichtigen nach § 102 Abs. 2 Z 2 EStG 1988 nur für Verluste zu, die in inländischen Betriebsstätten bestimmter betrieblicher Einkunftsarten entstanden sind, oder für Verluste aus in § 98 Abs. 1 Z 3 genanntem unbeweglichem Vermögen.",§ 102 Abs. 2 Z 2 EStG 1988,"Ja, der Verlustabzug steht beschränkt Steuerpflichtigen nur für bestimmte inländische Verluste zu.","Nein. Der Verlustabzug ist für alle inländischen Verluste, unabhängig von der Beteiligungsgesetzgebung, grundsätzlich beschränkt.",12a Abs. 1) nicht berücksichtigt wird.,0.7885093092918396
TAX-INTL-076,Ist die Progressionsermäßigung für die Verwertung von Patentrechten bei beschränkter Steuerpflicht ausgeschlossen?,Ja. Die Progressionsermäßigung gemäß § 38 EStG 1988 ist nach § 102 Abs. 2 Z 3 EStG 1988 und EStR 2000 Rz 8055 bei beschränkter Steuerpflicht ausgeschlossen.,§ 102 Abs. 2 Z 3 EStG 1988;EStR 2000 Rz 8055,Die Progressionsermäßigung für die Verwertung von Patentrechten bei beschränkter Steuerpflicht ist ausgeschlossen.,Ja. Die Progressionsermäßigung für die Verwertung von Patentrechten bei beschränkter Steuerpflicht gilt grundsätzlich.,is.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004531&ShowPrintPreview=True § 18. 4.wenn das geschenkte Grundstück aufgrund eines Rechtsanspruches herausgegeben werden musste oder ein von Todes wegen erworbenes Grundstück herausgegeben werden musste und dieses beim Empfänger einen Erwerb von Todes wegen darstellt. (2)Ist zur Durchführung einer Rückgängigmachung,0.7844668030738831
TAX-INTL-077,Kann ein aus dem Ausland nach Österreich zuziehender Spitzenforscher unter bestimmten Voraussetzungen eine Zuzugsbegünstigung beantragen?,"Ja, nach § 103 Abs. 1 EStG 1988. Bei Personen, deren Zuzug aus dem Ausland der Förderung von Wissenschaft, Forschung, Kunst oder Sport dient und aus diesem Grund im öffentlichen Interesse liegt, können steuerliche Mehrbelastungen bei nicht unter § 98 fallenden Einkünften beseitigt werden.",§ 103 Abs. 1 EStG 1988,"Ja, ein aus dem Ausland nach Österreich zuziehender Spitzenforscher kann unter bestimmten Voraussetzungen eine Zuzugsbegünstigung beantragen. Die Zuzugsbegünstigung ist ein Teil der Forschungs- und Bildungsförderungsgesetz (Förderungsgesetz 2020). 

Die Zuzugsbegünstigung ist für Spitzenforscher vorgesehen, die in Österreich eine Forschungs- oder Lehrstelle einnehmen. Die Zuzugsbegünstigung kann unter bestimmten Voraussetzungen gewährt werden, wenn der Spitzenforscher in Österreich eine Forschungs-","Ja. Der Spitzenforscher kann eine Zuzugsbegünstigung beantragen, wenn er nachweislich aus dem Ausland nach Österreich gezogen wurde und die Zuzugsbegünstigung gemäß § 27 Abs. 1 Z 1 EStG 1988 gewährt wird.",en),0.7552961707115173
TAX-INTL-078,Kann ein nach Österreich zuziehender Wissenschaftler zusätzlich einen befristeten Zuzugsfreibetrag von 30% erhalten?,"Ja, nach § 103 Abs. 1a EStG 1988. Bei Personen, deren Zuzug der Förderung von Wissenschaft oder Forschung dient und im öffentlichen Interesse liegt, kann für fünf Jahre ab dem Zuzug ein Freibetrag in Höhe von 30% der zum Tarif besteuerten Einkünfte aus wissenschaftlicher Tätigkeit festgesetzt werden.",§ 103 Abs. 1a EStG 1988,"Ja, ein nach Österreich zuziehender Wissenschaftler kann einen befristeten Zuzugsfreibetrag von 30% erhalten, wenn er bestimmte Voraussetzungen erfüllt. Dieser Freibetrag ist Teil des Forschungsfreibetrags.",Ja. Der Zuzugsfreibetrag von 30% für nach Österreich zuziehende Wissenschaftler gilt auch für befristete Zuzüge.,bezogenen Daten an die zuständigen Behörden erfolgt in der Regel nicht.,0.7955949902534485
TAX-INTL-079,Setzt die Zuzugsbegünstigung nach den Richtlinien neben einem Zuzug aus dem Ausland auch die Verlagerung des Mittelpunktes der Lebensinteressen nach Österreich voraus?,"Ja, so EStR 2000 Rz 8201a. Nach den Richtlinien knüpft die Zuzugsbegünstigung an den Zuzug aus dem Ausland an. Neben der Begründung eines inländischen Wohnsitzes setzt sie auch die Verlagerung des Mittelpunktes der Lebensinteressen nach Österreich voraus.",EStR 2000 Rz 8201a,"Ja, die Zuzugsbegünstigung setzt die Verlagerung des Mittelpunktes der Lebensinteressen nach Österreich voraus.",Nein. Die Zuzugsbegünstigung ist ausschließlich auf das Einkommen aus dem Zuzug aus dem Ausland beschränkt.,inschaftsgebiet ist und das nicht in das Inland der Europäischen Union gehört.,0.7961314916610718
TAX-INTL-080,"Kann eine Person die Zuzugsbegünstigung erhalten, wenn sie erst vor weniger als fünf Jahren aus Österreich weggezogen ist und nun zurückkehrt?","Nein. Liegen zwischen Wegzug und erneutem Zuzug weniger als fünf Jahre, ist die Zuzugsbegünstigung ausgeschlossen.",§ 103 Abs. 2 EStG 1988,"Die Zuzugsbegünstigung ist nur für Personen zuständig, die sich in Österreich niederlassen, nachdem sie mindestens fünf Jahre im Ausland gelebt haben. Wenn die Person erst vor weniger als fünf Jahren aus Österreich weggezogen ist, ist sie für die Zuzugsbegünstigung nicht zuständig.","Ja. Die Zuzugsbegünstigung kann auch nach einer längeren Abwesenheit gewährt werden, wenn die Person vor weniger als fünf Jahren aus Österreich weggezogen ist und nun wieder zurückkehrt.",der Hinzurechnungen nicht zulässig.,0.7985552549362183
ESTG-NEW-001,"Herr Koller betreibt seit 2022 Ethereum-Staking über einen dezentralen Staking-Pool. Im Jänner 2026 werden ihm 1,8 ETH als Staking-Rewards gutgeschrieben, die jedoch aufgrund der Pool-Mechanik erst nach einer 21-tägigen Unbonding-Periode tatsächlich verfügbar sind. Der Marktpreis bei Gutschrift beträgt EUR 3.200 pro ETH, bei tatsächlicher Verfügbarkeit 14 Tage später EUR 3.450 pro ETH. Herr Koller verkauft die 1,8 ETH sofort nach Ende der Unbonding-Periode. Wann entsteht die Steuerpflicht für die Staking-Rewards, und wie hoch sind die Einkünfte aus dem Staking bzw. aus der späteren Veräußerung?","Gemäß § 27b Abs. 2 EStG sind Einkünfte aus der Überlassung von Kryptowährungen (Staking) im Zeitpunkt des Zuflusses steuerpflichtig. Der Zufluss tritt ein, wenn der Steuerpflichtige die wirtschaftliche Verfügungsmacht erlangt. Bei einer Unbonding-Periode, während der die Token gesperrt sind und nicht verfügt werden kann, liegt der Zufluss erst mit Ende der Sperrfrist vor – nicht bereits bei der buchhalterischen Gutschrift im Pool-Interface. Die Staking-Einkünfte betragen daher 1,8 × EUR 3.450 = EUR 6.210 (Sondersteuersatz 27,5 %). Die anschließende sofortige Veräußerung zum selben Kurs löst keinen zusätzlichen Veräußerungsgewinn aus, da die Anschaffungskosten dem Wert bei Zufluss entsprechen (§ 27b Abs. 2 letzter Satz EStG).",§ 27b Abs. 2 EStG; § 27a Abs. 1 EStG,"Die Steuerpflicht für die Staking-Rewards entsteht bei Gutschrift, also im Jänner 2026. Die Einkünfte aus dem Staking betragen 1,8 ETH * EUR 3.200 pro ETH = EUR 5.760.

Die Veräußerung der 1,8 ETH 14 Tage später führt zu weiteren Einkünften. Die Einkünfte aus der Veräußerung betragen 1,8 ETH * EUR 3.450 pro ETH = EUR 6.234.",Herr Koller ist Steuerpflichtiger nach § 27 EStG 1988. Die Staking-Rewards entstehen nach § 27 Abs. 1 Z 1 EStG 1988 als Einkünfte aus Kapitalvermögen im Sinne des § 27 Abs. 1 Z 2 EStG 1988.,iten ab dem 91. Tag nach Einlangen der Voranmeldung bis zum 90. Tag nach Einlangen der Umsatzsteuerjahreserklärung erfolgen.,0.7939810156822205
ESTG-NEW-002,"Frau Dietrich hält 500 Aktien der Muster AG (Anschaffungskosten EUR 40 pro Aktie). Die Hauptversammlung beschließt im Mai 2026 eine Kapitalerhöhung aus Gesellschaftsmitteln, bei der für je 5 Alte Aktien 1 neue Aktie ausgegeben wird. Frau Dietrich erhält somit 100 Gratisaktien. Ein Barausgleich findet nicht statt. Die neuen Aktien sind rechtlich gleichrangig mit den alten Aktien. Frau Dietrich verkauft im Oktober 2026 alle 600 Aktien zu EUR 38 pro Aktie. Löst die Ausgabe der Gratisaktien eine Steuerpflicht aus, und wie ist der Veräußerungsgewinn zu berechnen?","Die Ausgabe von Gratisaktien im Rahmen einer Kapitalerhöhung aus Gesellschaftsmitteln stellt keinen Zufluss von Einkünften aus Kapitalvermögen dar, da sich wirtschaftlich am Vermögen des Aktionärs nichts ändert – der Anteil am Unternehmen bleibt gleich, es wird lediglich das Nennkapital umstrukturiert. Es liegt kein steuerpflichtiger Vorgang gemäß § 27 Abs. 2 Z 1 EStG vor. Bei der späteren Veräußerung sind die ursprünglichen Gesamtanschaffungskosten (500 × EUR 40 = EUR 20.000) auf alle 600 Aktien aufzuteilen. Die AK pro Aktie betragen EUR 33,33. Veräußerungserlös: 600 × EUR 38 = EUR 22.800. Veräußerungsgewinn: EUR 22.800 – EUR 20.000 = EUR 2.800, steuerpflichtig mit 27,5 % (§ 27a Abs. 1 EStG).",§ 27 Abs. 2 Z 1 EStG; § 27a Abs. 3 Z 2 lit. a EStG; § 27a Abs. 1 EStG,"Die Ausgabe der Gratisaktien löst keine Steuerpflicht aus, da sie ohne Barausgleich erfolgt und die neuen Aktien rechtlich gleichrangig mit den alten Aktien sind.

Der Veräußerungsgewinn ist wie folgt zu berechnen:

Veräußerungsgewinn = Verkaufspreis - Anschaffungskosten
= 600 Aktien * 38 €/Aktie - 500 Aktien * 40 €/Aktie
= 22.800 € - 20.000 €
= 2.800 €

Da die 100 Gratisaktien nicht in die Anschaffungskosten einbezogen werden,","Frau Dietrich erhält im Mai 2026 500 Aktien der Muster AG mit einer Gesamtkapitalerhöhung von 500 x 1 = 500 Euro. Sie erhält somit 100 Gratisaktien, die 100 x 1 = 100 Euro wert sind. Die Gesamtzahl der verkauften Aktien beträgt","einbezogen wird. 2. Die Eigenkapitalquote des Konzerns ist die Summe der Eigenkapitalanteile aller Gesellschaftsmitglied, die am 31. Dezember des Wirtschaftsjahres in der Körperschaft oder in der Gesellschaft in der Hand einer Person gehalten werden. 3. Die Eigenkapitalquote des Konzerns ist die Summe der Eigenkapitalanteile aller Gesellschaftsmitglied, die am 31. Dezember des Wirtschaftsjahres in der Körperschaft",0.779682993888855
ESTG-NEW-003,"Herr Nemec besitzt 10 BTC in seiner persönlichen Wallet. Im März 2026 findet ein Hard Fork statt, der eine neue Kryptowährung ‚BTC-X' erzeugt. Herr Nemec erhält automatisch 10 BTC-X, ohne aktiv etwas zu tun. Er beachtet die neuen Token zunächst nicht und importiert den Private Key für BTC-X erst vier Monate später in eine Wallet, um sie am selben Tag zu einem Kurs von EUR 120 pro BTC-X zu verkaufen. Zwischen dem Fork-Datum und dem Import-Datum lag der Kurs bei EUR 80 (Fork-Datum) bis EUR 120 (Import-Datum). Wann ist der steuerlich relevante Zufluss, und wie hoch sind die Anschaffungskosten der BTC-X?","Bei einem Hard Fork entstehen die neuen Token automatisch, ohne aktives Handeln des Steuerpflichtigen. Die Anschaffungskosten der durch den Fork erhaltenen Token betragen gemäß § 27b Abs. 3 EStG null Euro, da kein Anschaffungsvorgang und keine entgeltliche Gegenleistung vorliegt. Der Zufluss richtet sich danach, wann die wirtschaftliche Verfügungsmacht entsteht. Beim Hard Fork ist dies grundsätzlich der Zeitpunkt, ab dem der Steuerpflichtige tatsächlich über die Token verfügen kann – was bei automatischer Zuteilung bereits mit dem Fork-Datum der Fall ist, da die Private Keys bereits vorhanden sind und die Verfügungsmöglichkeit objektiv besteht. Der Umstand, dass Herr Nemec subjektiv die Token erst vier Monate später importiert, ändert an der objektiven Verfügungsmacht nichts. Die Veräußerung erzeugt daher einen Veräußerungsgewinn von 10 × EUR 120 – EUR 0 = EUR 1.200, steuerpflichtig mit 27,5 % gemäß § 27a Abs. 1 EStG.",§ 27b Abs. 3 EStG; § 27b Abs. 1 EStG; § 27a Abs. 1 EStG,"Ich bin nicht sicher, ob die Anschaffung von Kryptowährungen in Österreich steuerlich relevant ist. In Österreich gibt es keine gesetzliche Regelung für Kryptowährungen. 

Wenn man jedoch von einem steuerlich relevanten Zufluss ausgeht, ist dieser der Wert der BTC-X am Tag des Forks, also EUR 80. Der Wert am Tag des Imports ist irrelevant, da der steuerlich relevante Zufluss bereits vorher stattgefunden hat.","Zufluss: Der steuerlich relevante Zufluss beträgt der Betrag, der nach dem Hard Fork in BTC-X eingeführt wurde, also 10 BTC + 10 BTC = 20 BTC. Da der Kurs zwischen dem Fork-Datum und dem Import-Datum bei EUR 80 lag, beträgt der Zufluss von 20 BTC",vor.),0.7061085104942322
