id,prompt,baseline_answer,correct_answer,sources
TAX-INTL-078,Kann ein nach Österreich zuziehender Wissenschaftler zusätzlich einen befristeten Zuzugsfreibetrag von 30% erhalten?,"Ja, ein nach Österreich zuziehender Wissenschaftler kann einen befristeten Zuzugsfreibetrag von 30% erhalten, wenn er bestimmte Voraussetzungen erfüllt. Dieser Freibetrag ist Teil des Forschungsfreibetrags.","Ja, nach § 103 Abs. 1a EStG 1988. Bei Personen, deren Zuzug der Förderung von Wissenschaft oder Forschung dient und im öffentlichen Interesse liegt, kann für fünf Jahre ab dem Zuzug ein Freibetrag in Höhe von 30% der zum Tarif besteuerten Einkünfte aus wissenschaftlicher Tätigkeit festgesetzt werden.",§ 103 Abs. 1a EStG 1988
TAX-INTL-079,Setzt die Zuzugsbegünstigung nach den Richtlinien neben einem Zuzug aus dem Ausland auch die Verlagerung des Mittelpunktes der Lebensinteressen nach Österreich voraus?,"Ja, die Zuzugsbegünstigung setzt die Verlagerung des Mittelpunktes der Lebensinteressen nach Österreich voraus.","Ja, so EStR 2000 Rz 8201a. Nach den Richtlinien knüpft die Zuzugsbegünstigung an den Zuzug aus dem Ausland an. Neben der Begründung eines inländischen Wohnsitzes setzt sie auch die Verlagerung des Mittelpunktes der Lebensinteressen nach Österreich voraus.",EStR 2000 Rz 8201a
TAX-INTL-080,"Kann eine Person die Zuzugsbegünstigung erhalten, wenn sie erst vor weniger als fünf Jahren aus Österreich weggezogen ist und nun zurückkehrt?","Die Zuzugsbegünstigung ist nur für Personen zuständig, die sich in Österreich niederlassen, nachdem sie mindestens fünf Jahre im Ausland gelebt haben. Wenn die Person erst vor weniger als fünf Jahren aus Österreich weggezogen ist, ist sie für die Zuzugsbegünstigung nicht zuständig.","Nein. Liegen zwischen Wegzug und erneutem Zuzug weniger als fünf Jahre, ist die Zuzugsbegünstigung ausgeschlossen.",§ 103 Abs. 2 EStG 1988
ESTG-NEW-001,"Herr Koller betreibt seit 2022 Ethereum-Staking über einen dezentralen Staking-Pool. Im Jänner 2026 werden ihm 1,8 ETH als Staking-Rewards gutgeschrieben, die jedoch aufgrund der Pool-Mechanik erst nach einer 21-tägigen Unbonding-Periode tatsächlich verfügbar sind. Der Marktpreis bei Gutschrift beträgt EUR 3.200 pro ETH, bei tatsächlicher Verfügbarkeit 14 Tage später EUR 3.450 pro ETH. Herr Koller verkauft die 1,8 ETH sofort nach Ende der Unbonding-Periode. Wann entsteht die Steuerpflicht für die Staking-Rewards, und wie hoch sind die Einkünfte aus dem Staking bzw. aus der späteren Veräußerung?","Die Steuerpflicht für die Staking-Rewards entsteht bei Gutschrift, also im Jänner 2026. Die Einkünfte aus dem Staking betragen 1,8 ETH * EUR 3.200 pro ETH = EUR 5.760.

Die Veräußerung der 1,8 ETH 14 Tage später führt zu weiteren Einkünften. Die Einkünfte aus der Veräußerung betragen 1,8 ETH * EUR 3.450 pro ETH = EUR 6.234.","Gemäß § 27b Abs. 2 EStG sind Einkünfte aus der Überlassung von Kryptowährungen (Staking) im Zeitpunkt des Zuflusses steuerpflichtig. Der Zufluss tritt ein, wenn der Steuerpflichtige die wirtschaftliche Verfügungsmacht erlangt. Bei einer Unbonding-Periode, während der die Token gesperrt sind und nicht verfügt werden kann, liegt der Zufluss erst mit Ende der Sperrfrist vor – nicht bereits bei der buchhalterischen Gutschrift im Pool-Interface. Die Staking-Einkünfte betragen daher 1,8 × EUR 3.450 = EUR 6.210 (Sondersteuersatz 27,5 %). Die anschließende sofortige Veräußerung zum selben Kurs löst keinen zusätzlichen Veräußerungsgewinn aus, da die Anschaffungskosten dem Wert bei Zufluss entsprechen (§ 27b Abs. 2 letzter Satz EStG).",§ 27b Abs. 2 EStG; § 27a Abs. 1 EStG
ESTG-NEW-002,"Frau Dietrich hält 500 Aktien der Muster AG (Anschaffungskosten EUR 40 pro Aktie). Die Hauptversammlung beschließt im Mai 2026 eine Kapitalerhöhung aus Gesellschaftsmitteln, bei der für je 5 Alte Aktien 1 neue Aktie ausgegeben wird. Frau Dietrich erhält somit 100 Gratisaktien. Ein Barausgleich findet nicht statt. Die neuen Aktien sind rechtlich gleichrangig mit den alten Aktien. Frau Dietrich verkauft im Oktober 2026 alle 600 Aktien zu EUR 38 pro Aktie. Löst die Ausgabe der Gratisaktien eine Steuerpflicht aus, und wie ist der Veräußerungsgewinn zu berechnen?","Die Ausgabe der Gratisaktien löst keine Steuerpflicht aus, da sie ohne Barausgleich erfolgt und die neuen Aktien rechtlich gleichrangig mit den alten Aktien sind.

Der Veräußerungsgewinn ist wie folgt zu berechnen:

Veräußerungsgewinn = Verkaufspreis - Anschaffungskosten
= 600 Aktien * 38 €/Aktie - 500 Aktien * 40 €/Aktie
= 22.800 € - 20.000 €
= 2.800 €

Da die 100 Gratisaktien nicht in die Anschaffungskosten einbezogen werden,","Die Ausgabe von Gratisaktien im Rahmen einer Kapitalerhöhung aus Gesellschaftsmitteln stellt keinen Zufluss von Einkünften aus Kapitalvermögen dar, da sich wirtschaftlich am Vermögen des Aktionärs nichts ändert – der Anteil am Unternehmen bleibt gleich, es wird lediglich das Nennkapital umstrukturiert. Es liegt kein steuerpflichtiger Vorgang gemäß § 27 Abs. 2 Z 1 EStG vor. Bei der späteren Veräußerung sind die ursprünglichen Gesamtanschaffungskosten (500 × EUR 40 = EUR 20.000) auf alle 600 Aktien aufzuteilen. Die AK pro Aktie betragen EUR 33,33. Veräußerungserlös: 600 × EUR 38 = EUR 22.800. Veräußerungsgewinn: EUR 22.800 – EUR 20.000 = EUR 2.800, steuerpflichtig mit 27,5 % (§ 27a Abs. 1 EStG).",§ 27 Abs. 2 Z 1 EStG; § 27a Abs. 3 Z 2 lit. a EStG; § 27a Abs. 1 EStG
ESTG-NEW-003,"Herr Nemec besitzt 10 BTC in seiner persönlichen Wallet. Im März 2026 findet ein Hard Fork statt, der eine neue Kryptowährung ‚BTC-X' erzeugt. Herr Nemec erhält automatisch 10 BTC-X, ohne aktiv etwas zu tun. Er beachtet die neuen Token zunächst nicht und importiert den Private Key für BTC-X erst vier Monate später in eine Wallet, um sie am selben Tag zu einem Kurs von EUR 120 pro BTC-X zu verkaufen. Zwischen dem Fork-Datum und dem Import-Datum lag der Kurs bei EUR 80 (Fork-Datum) bis EUR 120 (Import-Datum). Wann ist der steuerlich relevante Zufluss, und wie hoch sind die Anschaffungskosten der BTC-X?","Ich bin nicht sicher, ob die Anschaffung von Kryptowährungen in Österreich steuerlich relevant ist. In Österreich gibt es keine gesetzliche Regelung für Kryptowährungen. 

Wenn man jedoch von einem steuerlich relevanten Zufluss ausgeht, ist dieser der Wert der BTC-X am Tag des Forks, also EUR 80. Der Wert am Tag des Imports ist irrelevant, da der steuerlich relevante Zufluss bereits vorher stattgefunden hat.","Bei einem Hard Fork entstehen die neuen Token automatisch, ohne aktives Handeln des Steuerpflichtigen. Die Anschaffungskosten der durch den Fork erhaltenen Token betragen gemäß § 27b Abs. 3 EStG null Euro, da kein Anschaffungsvorgang und keine entgeltliche Gegenleistung vorliegt. Der Zufluss richtet sich danach, wann die wirtschaftliche Verfügungsmacht entsteht. Beim Hard Fork ist dies grundsätzlich der Zeitpunkt, ab dem der Steuerpflichtige tatsächlich über die Token verfügen kann – was bei automatischer Zuteilung bereits mit dem Fork-Datum der Fall ist, da die Private Keys bereits vorhanden sind und die Verfügungsmöglichkeit objektiv besteht. Der Umstand, dass Herr Nemec subjektiv die Token erst vier Monate später importiert, ändert an der objektiven Verfügungsmacht nichts. Die Veräußerung erzeugt daher einen Veräußerungsgewinn von 10 × EUR 120 – EUR 0 = EUR 1.200, steuerpflichtig mit 27,5 % gemäß § 27a Abs. 1 EStG.",§ 27b Abs. 3 EStG; § 27b Abs. 1 EStG; § 27a Abs. 1 EStG
ESTG-NEW-004,"Frau Pichler nutzt eine DeFi-Plattform, um ihre 50 ETH in einen Liquidity Pool einzuzahlen. Sie erhält dafür LP-Token (‚Pool-Token'), die ihren Anteil am Pool repräsentieren. Drei Monate später zieht sie ihre Liquidität ab und erhält 48 ETH und 2.500 USDC zurück (aufgrund von Impermanent Loss). Die LP-Token werden dabei vernichtet. Frau Pichler hatte die 50 ETH ursprünglich zu je EUR 2.800 erworben. Zum Zeitpunkt der Einzahlung in den Pool lag der Kurs bei EUR 3.000, zum Zeitpunkt der Entnahme bei EUR 3.100 pro ETH und EUR 1,02 pro USDC. Liegt ein steuerpflichtiger Tausch bei der Einzahlung und/oder bei der Entnahme vor?","Ein steuerpflichtiger Tausch liegt bei der Einzahlung in den DeFi-Liquidity Pool vor. Frau Pichler tauscht ihre 50 ETH gegen LP-Token ein. Der Tauschwert der 50 ETH beträgt 50 * 3.000 = 150.000 EUR. Der Tauschwert der LP-Token ist jedoch nicht eindeutig bestimmt, da es sich um einen Token handelt, der nur innerhalb der DeFi-Plattform einen Wert hat. 

Bei der Entnahme aus dem Pool ist ein steuerpflichtiger Tausch nicht gegeben, da Frau Pichler ihre LP-Token nicht gegen einen anderen Gegenstand tauscht","Sowohl die Einzahlung von Kryptowährungen in einen Liquidity Pool gegen LP-Token als auch die Rückgabe der LP-Token gegen die Poolanteile stellen jeweils einen Tausch und damit eine Veräußerung bzw. Anschaffung im Sinne des § 27b Abs. 1 EStG dar. Bei der Einzahlung wird der Tausch 50 ETH gegen LP-Token realisiert: Veräußerungserlös 50 × EUR 3.000 = EUR 150.000, Anschaffungskosten 50 × EUR 2.800 = EUR 140.000, steuerpflichtiger Gewinn EUR 10.000. Bei der Entnahme wird der Tausch LP-Token gegen 48 ETH + 2.500 USDC realisiert: Veräußerungserlös 48 × EUR 3.100 + 2.500 × EUR 1,02 = EUR 148.800 + EUR 2.550 = EUR 151.350. Die Anschaffungskosten der LP-Token entsprechen dem Wert bei Einzahlung (EUR 150.000). Steuerpflichtiger Gewinn bei Entnahme: EUR 1.350. Beide Vorgänge unterliegen dem Sondersteuersatz von 27,5 %.",§ 27b Abs. 1 EStG; § 27a Abs. 1 EStG; § 27b Abs. 3 EStG
ESTG-NEW-005,"Herr Winkler hält Kryptowährungen auf einer österreichischen Börse (Plattform A). Im Februar 2026 beschließt er, seine 5 BTC über eine sogenannte ‚Cross-Chain-Bridge' von der Bitcoin-Blockchain auf ein Ethereum-basiertes Wrapped-BTC-Protokoll (WBTC) zu transferieren. Die Bridge sperrt die 5 BTC und prägt 5 WBTC auf der Ethereum-Blockchain. Herr Winkler betrachtet dies als reinen technischen Transfer – vergleichbar einem Depot-Übertrag. Die WBTC werden auf seiner MetaMask-Wallet angezeigt. Drei Monate später tauscht er 5 WBTC in 80 ETH auf einer dezentralen Börse. Die ursprünglichen Anschaffungskosten seiner BTC betrugen EUR 25.000 pro BTC. Zum Zeitpunkt des Bridging lag BTC bei EUR 60.000, zum Zeitpunkt des Tauschs WBTC-ETH bei EUR 62.000 pro WBTC. Ist das Bridging von BTC zu WBTC ein steuerlich neutraler Transfer oder ein steuerpflichtiger Tausch?","Ich bin nicht sicher, ob das Bridging von BTC zu WBTC steuerlich neutral ist. Die Situation ist komplex und es gibt keine eindeutige Antwort. Die Österreichische Finanzmarktaufsichtsbehörde (FMA) hat keine klaren Anweisungen zu Cross-Chain-Bridges und Wrapped-Assets. 

Ein möglicher Ansatz könnte sein, dass das Bridging von BTC zu WBTC als eine Art von Tausch angesehen wird, da die 5 BTC auf der Bitcoin-Blockchain gesperrt werden und 5 WBTC auf der Ethereum-Blockchain erstellt werden. Wenn man davon ausgeht, dass der Wert der 5 BTC bei EUR 60.000 bet","Das Bridging von BTC zu WBTC stellt einen Tausch von einer Kryptowährung in eine andere dar, da BTC und WBTC rechtlich und technisch verschiedene Kryptowährungen auf verschiedenen Blockchains sind. Die wirtschaftliche Ähnlichkeit (1:1-Anbindung) ändert an der steuerlichen Einordnung als Tausch gemäß § 27b Abs. 1 EStG nichts. Es liegt daher eine Veräußerung der BTC und eine Anschaffung der WBTC vor. Veräußerungserlös: 5 × EUR 60.000 = EUR 300.000. Anschaffungskosten BTC: 5 × EUR 25.000 = EUR 125.000. Steuerpflichtiger Veräußerungsgewinn beim Bridging: EUR 175.000, mit 27,5 % besteuert. Die WBTC haben Anschaffungskosten von EUR 60.000 pro Stück. Der spätere Tausch WBTC gegen ETH ist ein weiterer steuerpflichtiger Tauschvorgang mit einem Gewinn von 5 × (EUR 62.000 – EUR 60.000) = EUR 10.000.",§ 27b Abs. 1 EStG; § 27a Abs. 1 EStG
ESTG-NEW-006,"Frau Berger erhält im April 2026 einen Airdrop von 10.000 Token des Projekts ‚AlphaDAO'. Bedingung für den Airdrop war, dass sie in der Vergangenheit das AlphaDAO-Protokoll genutzt hatte. Sie hat keinerlei Gegenleistung erbracht und keinen Token-Kauf getätigt. Der Token hat zum Zeitpunkt der Gutschrift auf ihrer Wallet einen Marktwert von EUR 2 pro Token. Frau Berger hält die Token sechs Monate und verkauft sie dann zu EUR 5 pro Token. Wie ist der Airdrop steuerlich einzuordnen, und wie berechnet sich der Veräußerungsgewinn?","Der Airdrop ist steuerlich als Einkommen aus Leistungen (§ 22 EStG) einzuordnen. Da Frau Berger die Token ohne Gegenleistung erhielt, handelt es sich um ein Einkommen aus Leistungen, das nicht aufgrund eines Vertrags oder einer Vereinbarung entsteht, sondern aufgrund einer Bedingung (Verwendung des AlphaDAO-Protokolls).

Der Veräußerungsgewinn ergibt sich aus der Differenz zwischen dem Verkaufspreis und dem Nennwert der Token. Der Nennwert beträgt 0 EUR, da es sich um einen Airdrop handelt und keine Gegen","Ein Airdrop ohne Gegenleistung stellt keinen Anschaffungsvorgang dar. Die erhaltenen Token haben Anschaffungskosten von null Euro (§ 27b Abs. 3 EStG). Im Unterschied zu Staking-Rewards, die als laufende Einkünfte aus der Überlassung von Kryptowährungen erfasst werden, ist ein reiner Airdrop mangels zugrunde liegender Überlassung oder sonstiger Leistung nicht als laufende Einkünfte gemäß § 27b Abs. 2 EStG zu qualifizieren. Der Airdrop selbst löst im Zeitpunkt des Zuflusses noch keine Einkommensteuerpflicht aus. Erst die spätere Veräußerung ist steuerpflichtig: Veräußerungserlös 10.000 × EUR 5 = EUR 50.000, Anschaffungskosten EUR 0, Veräußerungsgewinn EUR 50.000, steuerpflichtig mit 27,5 % (§ 27a Abs. 1 EStG).",§ 27b Abs. 3 EStG; § 27b Abs. 1 EStG; § 27a Abs. 1 EStG
ESTG-NEW-007,Herr Fuchs betreibt über seinen privaten Computer Staking für das Cardano-Netzwerk. Die Staking-Plattform bezeichnet die Erträge als ‚Interest Rewards'. In seiner Jahresabrechnung werden die Erträge auch als ‚Zinsen' ausgewiesen. Im Jahr 2026 erhält Herr Fuchs insgesamt 12.000 ADA als ‚Interest Rewards' gutgeschrieben. Der Marktwert zum jeweiligen Zuflusszeitpunkt beträgt insgesamt EUR 6.600. Herr Fuchs behandelt die Erträge als Zinsen aus Kapitalforderungen (§ 27 Abs. 2 Z 2 EStG) und beantragt im Rahmen der Veranlagung die Anrechnung der damit verbundenen DeFi-Transaktionskosten als Werbungskosten. Ist diese Einordnung korrekt?,"Die Einordnung als Zinsen aus Kapitalforderungen ist nicht korrekt, da es sich um Erträge aus einer digitalen Währung (ADA) handelt, die nicht in die Definition von Zinsen aus Kapitalforderungen fällt. 

Die Erträge aus Staking für das Cardano-Netzwerk werden als ""Interest Rewards"" bezeichnet und haben keinen Bezug zu herkömmlichen Kapitalanlagen. 

Die Anrechnung der DeFi-Transaktionskosten als Werbungskosten ist daher nicht möglich.","Nein. Ungeachtet der Bezeichnung durch die Plattform als ‚Interest' oder ‚Zinsen' handelt es sich bei Staking-Rewards steuerlich nicht um Zinsen aus Kapitalforderungen gemäß § 27 Abs. 2 Z 2 EStG, sondern um Einkünfte aus der Überlassung von Kryptowährungen gemäß § 27b Abs. 2 EStG. Die Bezeichnung durch die Plattform ist für die steuerliche Qualifikation irrelevant; maßgeblich ist die rechtliche Natur des Vorgangs. Da es sich um Einkünfte gemäß § 27b handelt, gilt das Abzugsverbot für Aufwendungen gemäß § 20 Abs. 2 EStG iVm der Sondersatzbesteuerung nach § 27a Abs. 1 EStG. Die DeFi-Transaktionskosten sind daher nicht als Werbungskosten abzugsfähig. Die Einkünfte von EUR 6.600 unterliegen dem besonderen Steuersatz von 27,5 %.",§ 27b Abs. 2 EStG; § 27 Abs. 2 Z 2 EStG; § 27a Abs. 1 EStG; § 20 Abs. 2 EStG
ESTG-NEW-008,"Herr und Frau Maier betreiben seit 2024 gemeinsam Krypto-Staking. Sie haben ein gemeinsames Wallet, in dem 100 ETH gehalten werden. Die ETH wurden jeweils zur Hälfte von beiden angeschafft (Herr Maier: 50 ETH zu EUR 2.000/Stück, Frau Maier: 50 ETH zu EUR 3.500/Stück). Im Jahr 2026 werden 8 ETH als Staking-Rewards gutgeschrieben (Marktwert bei Zufluss: EUR 3.200/ETH). Kurz darauf verkauft Herr Maier 30 ETH aus dem gemeinsamen Wallet zu EUR 3.300/ETH. Die Eheleute haben keine schriftliche Vereinbarung über die interne Zuordnung der Rewards oder über die Reihenfolge der Veräußerung. Wem sind die Staking-Rewards zuzurechnen, und wie bestimmen sich die Anschaffungskosten der veräußerten 30 ETH?","Die Staking-Rewards von 8 ETH sind den Eheleuten gemeinsam zuzurechnen, da sie gemeinsam Krypto-Staking betreiben und keine schriftliche Vereinbarung über die interne Zuordnung der Rewards haben.

Die Anschaffungskosten der veräußerten 30 ETH ergeben sich aus der Summe der Anschaffungskosten der 50 ETH, die Herr Maier und Frau Maier jeweils angeschafft haben. Da sie jeweils 50 ETH angeschafft haben, beträgt die Anschaffungskosten der 30 ETH 50/2 * 2.000 = 20.000 EUR (","Bei einem gemeinsamen Wallet ohne abweichende Vereinbarung sind die Staking-Rewards im Verhältnis der wirtschaftlichen Beteiligung am gestakten Kapital zuzurechnen. Da beide jeweils 50 ETH eingebracht haben, entfallen auf jeden Ehegatten 4 ETH Staking-Rewards (je EUR 12.800). Für die Veräußerung der 30 ETH ist entscheidend, wem die veräußerten Token zuzurechnen sind. Ohne anderslautende Vereinbarung wird die Veräußerung dem handelnden Ehegatten zugerechnet, wobei die Durchschnittsmethode (gleitender Durchschnittspreis) gemäß § 27b Abs. 3a EStG auf seinen Anteil anzuwenden ist. Herr Maier hält 50 ETH (AK EUR 2.000) + 4 ETH Staking-Rewards (AK EUR 0 gemäß § 27b Abs. 2 letzter Satz). Sein gleitender Durchschnittspreis beträgt (50 × 2.000 + 4 × 0) / 54 = EUR 1.851,85 pro ETH. Veräußerungsgewinn: 30 × (3.300 – 1.851,85) = EUR 43.444,50, steuerpflichtig mit 27,5 %.",§ 27b Abs. 2 EStG; § 27b Abs. 3a EStG; § 27a Abs. 1 EStG; § 2 Abs. 1 EStG
ESTG-NEW-009,"Frau Schneider ist österreichische Steuerresidentin und hält Aktien der deutschen X-AG. Im Juni 2026 beschließt die Hauptversammlung der X-AG, den Bilanzgewinn in Form einer Wahldividende auszuschütten: Aktionäre können zwischen einer Bardividende (EUR 4 pro Aktie) und einer Stockdividende (1 neue Aktie je 20 alte Aktien) wählen. Frau Schneider wählt die Stockdividende und erhält 50 neue Aktien (sie hält 1.000 Stück). Der Kurswert der X-AG-Aktie am Tag der Gutschrift beträgt EUR 82. Die deutschen Behörden behalten keine Kapitalertragsteuer auf die Stockdividende ein, da in Deutschland die Stockdividende bei einer Kapitalerhöhung aus Gesellschaftsmitteln nicht steuerbar ist. Ist die Stockdividende in Österreich steuerfrei?",Die Stockdividende ist in Österreich steuerbar. Die Steuerfreiheit in Deutschland hat keine Auswirkungen auf die Steuerbarkeit in Österreich.,"Nein. Obwohl eine Kapitalerhöhung aus Gesellschaftsmitteln – bei der kein Wahlrecht besteht – in Österreich keinen Zufluss darstellt, liegt hier eine Wahldividende vor: Die Aktionärin hatte die Wahl zwischen Barzahlung und neuen Aktien. Bei einer Wahldividende (Stockdividende mit Barwahlrecht) gilt der Zufluss als erfolgt, da die Aktionärin auf die Barauszahlung verzichtet. Es liegt ein Zufluss gemäß § 27 Abs. 2 Z 1 lit. a EStG (Gewinnanteile) in Höhe des Kurswerts der erhaltenen Aktien vor: 50 × EUR 82 = EUR 4.100. Dieser Betrag unterliegt der österreichischen Einkommensteuer mit dem Sondersteuersatz von 27,5 % (§ 27a Abs. 1 EStG). Dass Deutschland keine Quellensteuer erhebt, ist für die österreichische Steuerpflicht unerheblich. Die Anschaffungskosten der neuen Aktien betragen EUR 82 pro Stück.",§ 27 Abs. 2 Z 1 lit. a EStG; § 27a Abs. 1 EStG; § 15 Abs. 1 EStG
ESTG-NEW-010,"Herr Gruber hat im Dezember 2025 über eine österreichische Kryptobörse 20 SOL erworben (Anschaffungskosten EUR 180/SOL). Im Jänner 2026 delegiert er alle 20 SOL an einen Validator und beginnt Staking. Im März 2026 werden ihm 0,5 SOL als Staking-Rewards gutgeschrieben (Marktwert EUR 200/SOL). Im April 2026 beschließt Herr Gruber, das Staking zu beenden und die Delegation aufzuheben (‚Unstaking'). Während der Kühlperiode von 3 Epochen (~6 Tagen) kann er nicht über seine SOL verfügen. Nach Ende der Kühlperiode sind 20,5 SOL wieder in seiner Wallet. Er verkauft sofort 10 SOL zu EUR 210/SOL. Stellt das Unstaking einen steuerpflichtigen Vorgang dar?","Die Frage nach der Steuerpflichtigkeit des Unstaking ist komplex und kann je nach individuellen Umständen unterschiedlich beurteilt werden. 

Im Allgemeinen gilt, dass der Verkauf von Kryptowährungen, wie SOL, als Einkommen zu versteuern ist, wenn sie innerhalb von 30 Tagen nach dem Erwerb verkauft werden. 

Da Herr Gruber jedoch das Staking beendet und die Delegation aufhebt, bevor er die SOL verkauft, ist die Frage, ob dies als Einkommen zu versteuern ist, komplexer. 

In Österreich gilt, dass der Verkauf von Kryptowährungen, die inner","Nein, das Unstaking selbst ist kein steuerpflichtiger Veräußerungs- oder Tauschvorgang. Es handelt sich lediglich um die Rücknahme der Delegation – die SOL verbleiben im wirtschaftlichen Eigentum des Steuerpflichtigen, es liegt weder ein Tausch noch eine Veräußerung vor. Die Staking-Rewards (0,5 SOL) wurden bereits im Zeitpunkt ihres Zuflusses im März 2026 als Einkünfte gemäß § 27b Abs. 2 EStG erfasst (0,5 × EUR 200 = EUR 100). Für die Veräußerung der 10 SOL im April 2026 ist der gleitende Durchschnittspreis gemäß § 27b Abs. 3a EStG anzuwenden: (20 × 180 + 0,5 × 0) / 20,5 = EUR 175,61 pro SOL. Veräußerungsgewinn: 10 × (210 – 175,61) = EUR 343,90, steuerpflichtig mit 27,5 %.",§ 27b Abs. 1 EStG; § 27b Abs. 2 EStG; § 27b Abs. 3a EStG; § 27a Abs. 1 EStG
ESTG-NEW-011,"Frau Lang ist unselbständig erwerbstätig und handelt privat gelegentlich mit Kryptowährungen. Im Jahr 2026 erzielt sie folgende Ergebnisse: (1) Gewinn aus dem Verkauf von ETH: EUR 8.000, (2) Verlust aus dem Verkauf von BTC: EUR 3.000, (3) Verlust aus dem Verfall eines Krypto-basierten Derivats (Perpetual Future auf SOL auf einer nicht-österreichischen Plattform): EUR 12.000, (4) Dividenden aus österreichischen Aktien (nach KESt): EUR 2.000 brutto. Frau Lang möchte den Gesamtverlust aus Krypto gegen die Dividenden verrechnen. Wie funktioniert der Verlustausgleich?","Der Verlustausgleich ist ein Sonderfall, der in Österreich nicht direkt möglich ist. Der Verlustausgleich ist nur möglich, wenn der Verlust aus Kryptowährungen durch einen Verlust aus Einkünften aus Land- und Forstwirtschaft, Einkünften aus Gewerbebetrieb oder Einkünften aus Leibrenten oder Hinterlassenschaften verursacht wurde. 

Wenn Frau Lang den Verlust aus Kryptowährungen gegen die Dividenden verrechnen möchte, ist dies nicht möglich. Die Dividenden sind Einkünfte aus Kapitalvermögen, die nicht mit Verlusten aus Kryptowährungen verre","Der Verlust aus dem Verkauf von BTC (EUR 3.000) kann gemäß § 27 Abs. 8 EStG mit dem Gewinn aus dem Verkauf von ETH (EUR 8.000) verrechnet werden, da beide Einkünfte aus realisierten Wertsteigerungen von Kryptowährungen gemäß § 27b Abs. 1 EStG darstellen. Der verbleibende Krypto-Gewinn beträgt EUR 5.000. Der Verlust aus dem Verfall des Krypto-Derivats (EUR 12.000) ist ebenfalls grundsätzlich mit Einkünften gemäß § 27 verrechenbar. Er kann mit dem verbleibenden Krypto-Gewinn (EUR 5.000) und auch mit den Dividenden (EUR 2.000) verrechnet werden, da der Verlustausgleich innerhalb der Einkünfte des § 27 Abs. 2-4 EStG insgesamt möglich ist (§ 27 Abs. 8 Z 1 EStG). Es verbleibt ein nicht verrechneter Verlust von EUR 5.000, der nicht in Folgejahre vorgetragen werden kann, da § 27 Abs. 8 keinen Verlustvortrag vorsieht.",§ 27 Abs. 8 EStG; § 27b Abs. 1 EStG; § 27a Abs. 1 EStG
ESTG-NEW-012,"Herr Pfeifer betreibt einen kleinen Onlineshop als Einzelunternehmer (Einkünfte aus Gewerbebetrieb, § 23 EStG). Im Jahr 2024 hat er im Rahmen seines Unternehmens 5 BTC angeschafft (zu je EUR 30.000), die er als Betriebsvermögen bilanziert, weil er sie ursprünglich als Zahlungsmittel für Lieferantenrechnungen nutzen wollte. Tatsächlich hat er die BTC nie zu Zahlungszwecken verwendet. Im März 2026 verkauft er alle 5 BTC zu EUR 65.000 pro Stück. Herr Pfeifer ist der Meinung, der Gewinn sei mit dem Sondersteuersatz von 27,5 % begünstigt, da es sich um Kryptowährungen handle und § 27b EStG anzuwenden sei. Hat er Recht?","Nein, Herr Pfeifer hat nicht recht. Kryptowährungen wie Bitcoin (BTC) gelten als Werteaktien (§ 123 Abs. 1 BörseG) und unterliegen den Regelungen des Aktiengesetzes. 

Die Anschaffung der 5 BTC im Jahr 2024 ist steuerlich nicht relevant, da sie nicht in das Einkommen des Jahres 2024 einbezogen werden. 

Der Verkauf der 5 BTC im Jahr 2026 ist jedoch steuerpflichtig. Der Gewinn aus der Veräußerung der Werteinlage (5 BTC) ist mit dem allgemeinen Einkommensteuert","Nein. Kryptowährungen, die zum Betriebsvermögen gehören, fallen nicht unter § 27b EStG, sondern sind nach den allgemeinen Gewinnermittlungsvorschriften der jeweiligen Einkunftsart zu behandeln. Gemäß § 27b Abs. 4 EStG ist § 27b nur auf Kryptowährungen im Privatvermögen anwendbar. Da die BTC im Betriebsvermögen des Einzelunternehmens bilanziert sind, handelt es sich um Einkünfte aus Gewerbebetrieb gemäß § 23 EStG. Der Veräußerungsgewinn von 5 × (65.000 – 30.000) = EUR 175.000 unterliegt dem progressiven Einkommensteuertarif (§ 33 EStG) und nicht dem Sondersteuersatz von 27,5 %. Der Umstand, dass die BTC nie zu betrieblichen Zahlungszwecken genutzt wurden, ändert an der Zugehörigkeit zum Betriebsvermögen nichts, solange sie nicht entnommen wurden.",§ 27b Abs. 4 EStG; § 23 EStG; § 33 EStG; § 6 Z 4 EStG
